2 0 1 7 - 0 8 - 1 4 | | 1 7 : 5 0 : 4 9 . 5 4 2 8 3 3
2 0 1 7 - 0 8 - 1 4 | | 1 7 : 5 0 : 5 0 . 5 8 4 1 2 2
2 0 1 7 - 0 8 - 1 4 | | 1 7 : 5 0 : 5 1 . 6 0 2 9 6 7
2 0 1 7 - 0 8 - 1 4 | | 1 7 : 5 0 : 5 2 . 6 3 2 0 1 4
2 0 1 7 - 0 8 - 1 4 | | 1 7 : 5 0 : 5 3 . 6 4 8 4 0 1
2 0 1 7 - 0 8 - 1 4 | | 1 7 : 5 1 : 2 7 . 8 1 0 1 9 4
2 0 1 7 - 0 8 - 1 4 | | 1 7 : 5 1 : 2 8 . 8 1 8 8 3 6
2 0 1 7 - 0 8 - 1 4 | | 1 7 : 5 1 : 2 9 . 8 2 5 7 5 3
2 0 1 7 - 0 8 - 1 4 | | 1 7 : 5 1 : 3 0 . 8 3 6 1 7 1
2 0 1 7 - 0 8 - 1 4 | | 1 7 : 5 1 : 3 1 . 8 4 9 1 3 2
